feature,mean,std
AccX_mean,0.08081257383966241,3.971353618243585
AccX_std,0.3560070464135021,0.33326894923054884
AccX_max,0.9586707594936709,3.9929281070484666
AccX_min,-0.83699805907173,4.119794987460246
AccX_mcr,0.8853768776371308,1.31477689013637
AccX_peak,28.746835443037973,3.508164152940375
AccX_rms,2.6111372151898733,3.0328125374323074
AccX_grad,0.009729113924050634,0.22186077897577589
AccX_grad_1000,0.06001734177215191,0.06828229248328946
AccY_mean,1.603382700421941,2.5632576252050066
AccY_std,0.3460369620253165,0.41686966342949106
AccY_max,2.3110666666666666,2.8076731273597666
AccY_min,0.7484936708860759,2.681634777095471
AccY_mcr,0.7066721518987342,1.5110133451046681
AccY_peak,26.40084388185654,4.138386643802366
AccY_rms,2.1889757383966244,2.154769488002404
AccY_grad,0.1071297046413502,0.26779537867715536
AccY_grad_1000,0.05101569620253165,0.07635581417186668
AccZ_mean,1.3187681856540083,3.4203093164502367
AccZ_std,0.43992784810126584,0.5567776611898242
AccZ_max,2.329204978902954,3.4884601268491746
AccZ_min,-0.032586202531645535,4.560492373025755
AccZ_mcr,1.228570928270042,2.1825817146723105
AccZ_peak,28.60337552742616,4.561218515288565
AccZ_rms,2.3211147257383966,2.9246588273453757
AccZ_grad,-0.055923417721518986,0.2970430313449512
AccZ_grad_1000,0.08331122362869198,0.13188357196801584
GyrX_mean,0.02101033755274262,0.3956783158155588
GyrX_std,0.09595485232067512,0.11584967542043605
GyrX_max,0.32553502109704646,0.6021592644391466
GyrX_min,-0.31238265822784816,0.7337593233635207
GyrX_mcr,0.3922603797468355,0.6701304200895463
GyrX_peak,28.924050632911392,4.495019706049559
GyrX_rms,0.30550371308016877,0.29376725524422154
GyrX_grad,3.6075949367088615e-05,0.021780595712255657
GyrX_grad_1000,0.021753417721518984,0.03220337064228282
GyrY_mean,0.03646320675105484,0.44086938508320217
GyrY_std,0.11128729957805908,0.16711313572279213
GyrY_max,0.40157421940928273,0.7397222012064556
GyrY_min,-0.36622371308016877,0.8129571713578535
GyrY_mcr,0.49070105485232074,0.7763537819221302
GyrY_peak,31.11814345991561,3.845481749611126
GyrY_rms,0.32583008438818556,0.36033567333243904
GyrY_grad,-0.00017987341772151904,0.025315293729452352
GyrY_grad_1000,0.02677915611814346,0.042568219372598685
GyrZ_mean,0.044783544303797475,0.36630239337649034
GyrZ_std,0.05987227848101266,0.057168135424278906
GyrZ_max,0.22791299578059068,0.4475813605965653
GyrZ_min,-0.15795396624472574,0.46536679205907844
GyrZ_mcr,0.23765974683544303,0.34577119510888193
GyrZ_peak,27.417721518987342,3.772902255955864
GyrZ_rms,0.24196063291139244,0.2906730654354504
GyrZ_grad,0.0008195780590717301,0.008636679106132368
GyrZ_grad_1000,0.013478776371308017,0.017294548145272436
